years;population;brent_crude_oil_prices_yearly_avg_usd;gdp_current_prices_billion_usd;gdp_per_capita_current_prices_usd;production_national_gwh;gross_demand_gwh;avg_elect_sale_price_c_kwh;sum_number_motor_vehicles;car;minibus;bus;small_truck;truck;motorcycle;special_purpose;tractor;
31.12.2002;65988663;24.96333333;240.191;5453307;129399.5;132552.6;0.388648578;8655170;4600140;241700;120097;875381;567152;1046907;23666;1180127;
31.12.2003;66867327;28.8825;314.752;7027699;140580.5;141150.9;0.408314308;8903843;4700343;245394;123500;973457;579010;1073415;24468;1184256;
31.12.2004;67785075;38.23;409.127;8570077;150698.3;150017.5;0.439097876;10236357;5400440;318954;152712;1259867;647420;1218677;28004;1210283;
31.12.2005;68704715;54.41833333;506.186;9879038;161956.2;160794;0.465082778;11145826;5772745;338539;163390;1475057;676929;1441066;30333;1247767;
31.12.2006;69601333;65.14666667;555.126;11411982;176299.8;174637.3;0.44576813;12227393;6140992;357523;175949;1695624;709535;1822831;34260;1290679;
31.12.2007;70468869;72.465;680.489;12576353;191558.1;190000.21;0.413364697;13022945;6472156;372601;189128;1890459;729202;2003492;38573;1327334;
31.12.2008;71320726;96.8475;770.820;14021233;198418;198085.19;0.399958181;13765395;6796629;383548;199934;2066007;744217;2181383;35100;1358577;
31.12.2009;72225639;61.49;648.797;13869330;194812.9;194079.07;0.447507849;14316700;7093964;384053;201033;2204951;727302;2303261;34104;1368032;
31.12.2010;73195345;79.51166667;776.558;15838537;211207.7;210433.96;0.451505931;15095603;7544871;386973;208510;2399038;726359;2389488;35492;1404872;
31.12.2011;74173854;111.2641667;838.508;18801558;229395.1;230306.26;0.41446085;16089528;8113111;389435;219906;2611104;728458;2527190;34116;1466208;
31.12.2012;75277439;111.6516667;880.141;20911569;239496.8;242369.9;0.516437032;17033413;8648875;396119;235949;2794606;751650;2657722;33071;1515421;
31.12.2013;76576117;108.6375;957.504;23783421;240153.95;246356.64;0.448545664;17939447;9283923;421848;219885;2933050;755950;2722826;36148;1565817;
31.12.2014;78112073;99.02333333;938.512;26447923;251962.8;257220.15;0.427219385;18828721;9857915;427264;211200;3062479;773728;2828466;40731;1626938;
31.12.2015;79646178;52.35333333;864.071;29856636;261783.3;265724.35;0.442630093;19994472;10589337;449213;217056;3255299;804319;2938364;45732;1695152;
31.12.2016;81019394;43.54833333;869.280;32908096;274407.75;279286.39;0.700813115;21090424;11317998;463933;220361;3442483;825334;3003733;50818;1765764;
31.12.2017;82089826;54.2475;858.932;38778189;297277.52;296702.12;0.785217195;22218945;12035978;478618;221885;3642625;838718;3102800;60099;1838222;
31.12.2018;82809304;71.06083333;779.694;45836468;304801.88;304166.89;0.624770732;22865921;12398190;487527;218523;3755580;845462;3211328;63359;1885952;
31.12.2019;83481684;64.35833333;759.450;51851756;303897.56;303320.36;0.674723376;23156975;12503049;493373;213358;3796919;844481;3331326;65470;1908999;
31.12.2020;84135428;41.75916667;720.110;60375297;306703.09;306108.97;0.748791815;24144857;13099041;493395;212407;3938732;859670;3512576;70309;1958727;
31.12.2021;84775404;70.6775;817.508;85602137;334723.11;332871.18;0.63854983;25249119;13706065;484806;208882;4115205;886303;3744370;78482;2025006;
31.12.2022;85682000;100.7775;853.487;166790977;326014.8;328718.8;;;;;;;;;;;
